Reporte de stock
Fecha Generación:;22/04/2024 13:10

Filtros Aplicados
Rubro;0
Familia;1442

Producto;Proyectado;Solicitado;No disponible;Pend N/D Prov;Disponible;Comprometido;En armado;En tránsito;Asignado;Reservado para retiro;Faltante;Baja en tránsito;Baja;Total
SERVIDOR DELL POWEREDGE R240;0;0;0;0;0;0;0;0;27;0;0;0;0;27
SERVIDOR RACKEABLE DELL POWER EDGE R240;0;0;0;0;8;0;0;0;34;0;0;0;0;42
